Beatriz Adriana,https://open.spotify.com/artist/20DKdVZd4yxzm472iHRXzQ,,,,,,,,,,,,
Chavela Vargas,https://www.billboard.com/artist/chavela-vargas/,,,,,,,,,,,,
Chayanne,https://chayanne.com/,,,,,,,,,,,,
Flor Silvestre,https://www.florsilvestreoficial.com/,,,,,,,,,,,,
Backstreet Boys,https://backstreetboys.com/,,,,,,,,,,,,
Angela Maria,https://en.wikipedia.org/wiki/Angela_Maria,,,,,,,,,,,,
Bacilos,https://bacilon.wpengine.com/,,,,,,,,,,,,
Celtic Woman,https://www.celticwoman.com/,,,,,,,,,,,,
Mario Lanza,https://www.mariolanzatenor.com/,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
content:Song,,,,,,,,,,,,,
song_name,song_acousticness,song_danceability,song_duration_ms,song_energy,song_instrumentalness,song_liveness,song_loudness,song_speechiness,song_year,song_release_date,song_tempo,song_artist,song_album
End Of Act 1: Memory,0.962,0.261,83520,0.00803,0.0962,0.0873,-28.634,0.0375,1981,1981-01-01,74.153,Andrew Lloyd Webber,Cats 1981 Original London Cast
Amish Paradise (Parody of Gangsta\'s Paradise by Coolio),0.103,0.728,202920,0.448,0,0.267,-10.54,0.172,1996,1996-12-31,80.902,Weird Al Yankovic,The Essential Weird Al Yankovic
Nature Trail to Hell,0.0171,0.432,356133,0.663,0,0.149,-12.281,0.0476,1984,1984-01-01,169.617,Weird Al Yankovic,IN 3-D
Buster,0.239,0.883,141519,0.625,0,0.0765,-4.098,0.245,2019,2019-09-11,126.677,$atori Zoom,Buster
Mando (feat. Mozzy),0.0252,0.786,170806,0.663,4.15E-06,0.15,-9.342,0.183,2018,2018-04-22,96.47,$tupid Young,Mando (feat. Mozzy) [Explicit]
Trip On It,0.271,0.922,210338,0.703,0,0.227,-4.652,0.259,2019,2019-10-22,104.979,$tupid Young,22nd Ways [Explicit]
Coming Up Close,0.0989,0.349,280067,0.691,0.000216,0.0801,-7.592,0.0329,1985,,80.065,Til Tuesday,Coming Up Close: A Retrospective
"Tell Me, Tell Me...Baby",0.0173,0.661,216640,0.946,0.000304,0.101,-3.283,0.0713,2001,2001-07-24,98.031,*NSYNC,Celebrity
Something Like You,0.393,0.656,255360,0.39,0,0.105,-8.811,0.03,2001,2001-07-24,123.984,*NSYNC,Celebrity
I Just Wanna Be With You,0.000704,0.689,243400,0.797,0.0604,0.0232,-4.592,0.0426,1997,1997-05-26,103.678,*NSYNC,N Sync UK Version
Not Enough,0.000914,0.582,194093,0.893,1.83E-06,0.207,-6.034,0.031,2000,,135.025,3 Doors Down,The Better Life
Life Of My Own,0.000232,0.527,238400,0.898,2.84E-06,0.0919,-5.844,0.0452,2000,,132.992,3 Doors Down,The Better Life
Here Without You,0.00815,0.469,235640,0.67,0,0.132,-4.604,0.027,2012,2012-01-01,144.045,3 Doors Down,Away from the Sun
Obsession,0.00434,0.674,337227,0.609,0.481,0.649,-12.012,0.0767,1996,1996-01-01,114.753,Animotion,Obsession
Mad About You,0.00572,0.596,218227,0.655,0.000151,0.0647,-9.531,0.0351,1986,,143.797,Belinda Carlisle,Mad About You
Heart Of Glass - Remix,0.00476,0.683,351293,0.549,0.0195,0.0623,-11.771,0.0376,1988,,114.939,Blondie,Gretest Hits
Make You Feel My Love,0.894,0.552,212040,0.18,0.000393,0.105,-10.583,0.0293,2008,2008-01-28,76.995,Adele,19
Chasing Pavements,0.312,0.621,210507,0.473,0,0.11,-6.07,0.0251,2008,2008-01-28,80.027,Adele,19
Dancing Queen,0.168,0.512,231093,0.93,0.00119,0.561,-4.344,0.0508,2008,2008-01-01,100.542,ABBA,Arrival
Don\'t Turn Around,0.00104,0.745,230187,0.771,0.387,0.0574,-8.231,0.0755,1993,1993-12-24,95.623,Ace of Base,The Sign
